filepath,species,genus,family,split,ivc_score,ivc_category
data\fauna_seleccionada_bosque_atlantico\images\Atelidae\Alouatta\Alouatta_caraya\260105128_467042622.jpg,Alouatta caraya,Alouatta,Atelidae,query,3,Medio
data\fauna_seleccionada_bosque_atlantico\images\Atelidae\Alouatta\Alouatta_caraya\261722654_470254677.jpg,Alouatta caraya,Alouatta,Atelidae,query,3,Medio
data\fauna_seleccionada_bosque_atlantico\images\Atelidae\Alouatta\Alouatta_caraya\261722655_470254711.jpg,Alouatta caraya,Alouatta,Atelidae,query,3,Medio
data\fauna_seleccionada_bosque_atlantico\images\Atelidae\Alouatta\Alouatta_caraya\262563660_471591592.jpg,Alouatta caraya,Alouatta,Atelidae,query,3,Medio
data\fauna_seleccionada_bosque_atlantico\images\Atelidae\Alouatta\Alouatta_caraya\263204469_472801244.jpg,Alouatta caraya,Alouatta,Atelidae,gallery,3,Medio
data\fauna_seleccionada_bosque_atlantico\images\Atelidae\Alouatta\Alouatta_caraya\265101325_476116751.jpg,Alouatta caraya,Alouatta,Atelidae,query,3,Medio
data\fauna_seleccionada_bosque_atlantico\images\Atelidae\Alouatta\Alouatta_caraya\268089301_481849749.jpg,Alouatta caraya,Alouatta,Atelidae,query,3,Medio
data\fauna_seleccionada_bosque_atlantico\images\Atelidae\Alouatta\Alouatta_caraya\268367005_482384660.jpg,Alouatta caraya,Alouatta,Atelidae,query,3,Medio
data\fauna_seleccionada_bosque_atlantico\images\Atelidae\Alouatta\Alouatta_caraya\273091578_491245545.jpg,Alouatta caraya,Alouatta,Atelidae,gallery,3,Medio
data\fauna_seleccionada_bosque_atlantico\images\Atelidae\Alouatta\Alouatta_caraya\278249506_499617012.jpg,Alouatta caraya,Alouatta,Atelidae,query,3,Medio
data\fauna_seleccionada_bosque_atlantico\images\Atelidae\Alouatta\Alouatta_caraya\278849352_500699214.jpg,Alouatta caraya,Alouatta,Atelidae,query,3,Medio
data\fauna_seleccionada_bosque_atlantico\images\Atelidae\Alouatta\Alouatta_caraya\280383114_503566143.jpg,Alouatta caraya,Alouatta,Atelidae,gallery,3,Medio
data\fauna_seleccionada_bosque_atlantico\images\Atelidae\Alouatta\Alouatta_caraya\286018276_514141046.jpg,Alouatta caraya,Alouatta,Atelidae,query,3,Medio
data\fauna_seleccionada_bosque_atlantico\images\Atelidae\Alouatta\Alouatta_caraya\288627511_519073699.jpg,Alouatta caraya,Alouatta,Atelidae,query,3,Medio
data\fauna_seleccionada_bosque_atlantico\images\Atelidae\Alouatta\Alouatta_caraya\291592984_524644793.jpg,Alouatta caraya,Alouatta,Atelidae,query,3,Medio
data\fauna_seleccionada_bosque_atlantico\images\Atelidae\Alouatta\Alouatta_caraya\295993780_532919763.jpg,Alouatta caraya,Alouatta,Atelidae,query,3,Medio
data\fauna_seleccionada_bosque_atlantico\images\Atelidae\Alouatta\Alouatta_caraya\299664409_539856859.jpg,Alouatta caraya,Alouatta,Atelidae,gallery,3,Medio
data\fauna_seleccionada_bosque_atlantico\images\Atelidae\Alouatta\Alouatta_caraya\299664410_539857209.jpg,Alouatta caraya,Alouatta,Atelidae,query,3,Medio
data\fauna_seleccionada_bosque_atlantico\images\Atelidae\Alouatta\Alouatta_caraya\305789972_551376237.jpg,Alouatta caraya,Alouatta,Atelidae,query,3,Medio
data\fauna_seleccionada_bosque_atlantico\images\Atelidae\Alouatta\Alouatta_caraya\309245304_558017539.jpg,Alouatta caraya,Alouatta,Atelidae,query,3,Medio
data\fauna_seleccionada_bosque_atlantico\images\Atelidae\Alouatta\Alouatta_caraya\310742671_560869206.jpg,Alouatta caraya,Alouatta,Atelidae,query,3,Medio
data\fauna_seleccionada_bosque_atlantico\images\Atelidae\Alouatta\Alouatta_caraya\312918011_565030540.jpg,Alouatta caraya,Alouatta,Atelidae,query,3,Medio
data\fauna_seleccionada_bosque_atlantico\images\Atelidae\Alouatta\Alouatta_caraya\318269166_575193018.jpg,Alouatta caraya,Alouatta,Atelidae,query,3,Medio
data\fauna_seleccionada_bosque_atlantico\images\Atelidae\Alouatta\Alouatta_caraya\319839466_578200565.jpg,Alouatta caraya,Alouatta,Atelidae,query,3,Medio
data\fauna_seleccionada_bosque_atlantico\images\Atelidae\Alouatta\Alouatta_caraya\319850785_578222573.jpg,Alouatta caraya,Alouatta,Atelidae,query,3,Medio
data\fauna_seleccionada_bosque_atlantico\images\Atelidae\Alouatta\Alouatta_caraya\320298231_579083578.jpg,Alouatta caraya,Alouatta,Atelidae,gallery,3,Medio
data\fauna_seleccionada_bosque_atlantico\images\Atelidae\Alouatta\Alouatta_caraya\321624064_581682810.jpg,Alouatta caraya,Alouatta,Atelidae,query,3,Medio
data\fauna_seleccionada_bosque_atlantico\images\Atelidae\Alouatta\Alouatta_caraya\325422291_589194823.jpg,Alouatta caraya,Alouatta,Atelidae,query,3,Medio
data\fauna_seleccionada_bosque_atlantico\images\Atelidae\Alouatta\Alouatta_caraya\328373362_595025896.jpg,Alouatta caraya,Alouatta,Atelidae,query,3,Medio
data\fauna_seleccionada_bosque_atlantico\images\Atelidae\Alouatta\Alouatta_caraya\330671545_599682158.jpg,Alouatta caraya,Alouatta,Atelidae,query,3,Medio
data\fauna_seleccionada_bosque_atlantico\images\Atelidae\Alouatta\Alouatta_caraya\331138632_600641452.jpg,Alouatta caraya,Alouatta,Atelidae,query,3,Medio
data\fauna_seleccionada_bosque_atlantico\images\Atelidae\Alouatta\Alouatta_caraya\331138633_600641511.jpg,Alouatta caraya,Alouatta,Atelidae,query,3,Medio
data\fauna_seleccionada_bosque_atlantico\images\Atelidae\Alouatta\Alouatta_caraya\331138636_600641484.jpg,Alouatta caraya,Alouatta,Atelidae,query,3,Medio
data\fauna_seleccionada_bosque_atlantico\images\Atelidae\Alouatta\Alouatta_caraya\331420492_601225571.jpg,Alouatta caraya,Alouatta,Atelidae,query,3,Medio
data\fauna_seleccionada_bosque_atlantico\images\Atelidae\Alouatta\Alouatta_caraya\332235615_602896721.jpg,Alouatta caraya,Alouatta,Atelidae,gallery,3,Medio
data\fauna_seleccionada_bosque_atlantico\images\Atelidae\Alouatta\Alouatta_guariba\106313639_178569558.jpg,Alouatta guariba,Alouatta,Atelidae,query,7,Crítico
data\fauna_seleccionada_bosque_atlantico\images\Atelidae\Alouatta\Alouatta_guariba\116299454_196301960.jpg,Alouatta guariba,Alouatta,Atelidae,query,7,Crítico
data\fauna_seleccionada_bosque_atlantico\images\Atelidae\Alouatta\Alouatta_guariba\145703115_250325920.jpg,Alouatta guariba,Alouatta,Atelidae,gallery,7,Crítico
data\fauna_seleccionada_bosque_atlantico\images\Atelidae\Alouatta\Alouatta_guariba\146356097_251602246.jpg,Alouatta guariba,Alouatta,Atelidae,query,7,Crítico
data\fauna_seleccionada_bosque_atlantico\images\Atelidae\Alouatta\Alouatta_guariba\14994430_22368964.jpg,Alouatta guariba,Alouatta,Atelidae,query,7,Crítico
data\fauna_seleccionada_bosque_atlantico\images\Atelidae\Alouatta\Alouatta_guariba\151044222_260555501.jpg,Alouatta guariba,Alouatta,Atelidae,query,7,Crítico
data\fauna_seleccionada_bosque_atlantico\images\Atelidae\Alouatta\Alouatta_guariba\174333727_302851702.jpg,Alouatta guariba,Alouatta,Atelidae,query,7,Crítico
data\fauna_seleccionada_bosque_atlantico\images\Atelidae\Alouatta\Alouatta_guariba\177140401_308049447.jpg,Alouatta guariba,Alouatta,Atelidae,query,7,Crítico
data\fauna_seleccionada_bosque_atlantico\images\Atelidae\Alouatta\Alouatta_guariba\178692813_310983084.jpg,Alouatta guariba,Alouatta,Atelidae,gallery,7,Crítico
data\fauna_seleccionada_bosque_atlantico\images\Atelidae\Alouatta\Alouatta_guariba\18079447_27643048.jpg,Alouatta guariba,Alouatta,Atelidae,query,7,Crítico
data\fauna_seleccionada_bosque_atlantico\images\Atelidae\Alouatta\Alouatta_guariba\18507833_28308333.jpg,Alouatta guariba,Alouatta,Atelidae,query,7,Crítico
data\fauna_seleccionada_bosque_atlantico\images\Atelidae\Alouatta\Alouatta_guariba\187859216_328627407.jpg,Alouatta guariba,Alouatta,Atelidae,query,7,Crítico
data\fauna_seleccionada_bosque_atlantico\images\Atelidae\Alouatta\Alouatta_guariba\196015554_344992638.jpg,Alouatta guariba,Alouatta,Atelidae,gallery,7,Crítico
data\fauna_seleccionada_bosque_atlantico\images\Atelidae\Alouatta\Alouatta_guariba\220318973_390057839.jpg,Alouatta guariba,Alouatta,Atelidae,query,7,Crítico
data\fauna_seleccionada_bosque_atlantico\images\Atelidae\Alouatta\Alouatta_guariba\220818515_390997483.jpg,Alouatta guariba,Alouatta,Atelidae,query,7,Crítico
data\fauna_seleccionada_bosque_atlantico\images\Atelidae\Alouatta\Alouatta_guariba\237403240_422502894.jpg,Alouatta guariba,Alouatta,Atelidae,gallery,7,Crítico
data\fauna_seleccionada_bosque_atlantico\images\Atelidae\Alouatta\Alouatta_guariba\251895970_450810703.jpg,Alouatta guariba,Alouatta,Atelidae,gallery,7,Crítico
data\fauna_seleccionada_bosque_atlantico\images\Atelidae\Alouatta\Alouatta_guariba\260509059_467847373.jpg,Alouatta guariba,Alouatta,Atelidae,query,7,Crítico
data\fauna_seleccionada_bosque_atlantico\images\Atelidae\Alouatta\Alouatta_guariba\261773330_470352258.jpg,Alouatta guariba,Alouatta,Atelidae,query,7,Crítico
data\fauna_seleccionada_bosque_atlantico\images\Atelidae\Alouatta\Alouatta_guariba\262223443_471103941.jpg,Alouatta guariba,Alouatta,Atelidae,query,7,Crítico
data\fauna_seleccionada_bosque_atlantico\images\Atelidae\Alouatta\Alouatta_guariba\272012531_489343978.jpg,Alouatta guariba,Alouatta,Atelidae,query,7,Crítico
data\fauna_seleccionada_bosque_atlantico\images\Atelidae\Alouatta\Alouatta_guariba\279578289_502055141.jpg,Alouatta guariba,Alouatta,Atelidae,query,7,Crítico
data\fauna_seleccionada_bosque_atlantico\images\Atelidae\Alouatta\Alouatta_guariba\289667846_521016598.jpg,Alouatta guariba,Alouatta,Atelidae,query,7,Crítico
data\fauna_seleccionada_bosque_atlantico\images\Atelidae\Alouatta\Alouatta_guariba\297466625_535722730.jpg,Alouatta guariba,Alouatta,Atelidae,query,7,Crítico
data\fauna_seleccionada_bosque_atlantico\images\Atelidae\Alouatta\Alouatta_guariba\297577728_535932657.jpg,Alouatta guariba,Alouatta,Atelidae,query,7,Crítico
data\fauna_seleccionada_bosque_atlantico\images\Atelidae\Alouatta\Alouatta_guariba\303787243_547578118.jpg,Alouatta guariba,Alouatta,Atelidae,query,7,Crítico
data\fauna_seleccionada_bosque_atlantico\images\Atelidae\Alouatta\Alouatta_guariba\311482930_562292173.jpg,Alouatta guariba,Alouatta,Atelidae,query,7,Crítico
data\fauna_seleccionada_bosque_atlantico\images\Atelidae\Alouatta\Alouatta_guariba\315690176_570313658.jpg,Alouatta guariba,Alouatta,Atelidae,gallery,7,Crítico
data\fauna_seleccionada_bosque_atlantico\images\Atelidae\Alouatta\Alouatta_guariba\318463300_575567401.jpg,Alouatta guariba,Alouatta,Atelidae,query,7,Crítico
data\fauna_seleccionada_bosque_atlantico\images\Atelidae\Alouatta\Alouatta_guariba\319701623_577940784.jpg,Alouatta guariba,Alouatta,Atelidae,query,7,Crítico
data\fauna_seleccionada_bosque_atlantico\images\Atelidae\Alouatta\Alouatta_guariba\325361502_589071369.jpg,Alouatta guariba,Alouatta,Atelidae,query,7,Crítico
data\fauna_seleccionada_bosque_atlantico\images\Atelidae\Alouatta\Alouatta_guariba\330741020_599824444.jpg,Alouatta guariba,Alouatta,Atelidae,query,7,Crítico
data\fauna_seleccionada_bosque_atlantico\images\Atelidae\Alouatta\Alouatta_guariba\34396090_54128991.jpg,Alouatta guariba,Alouatta,Atelidae,query,7,Crítico
data\fauna_seleccionada_bosque_atlantico\images\Atelidae\Alouatta\Alouatta_guariba\36293320_57353693.jpg,Alouatta guariba,Alouatta,Atelidae,query,7,Crítico
data\fauna_seleccionada_bosque_atlantico\images\Atelidae\Alouatta\Alouatta_guariba\36294498_57355490.jpg,Alouatta guariba,Alouatta,Atelidae,query,7,Crítico
data\fauna_seleccionada_bosque_atlantico\images\Atelidae\Alouatta\Alouatta_guariba\37247452_59016814.jpg,Alouatta guariba,Alouatta,Atelidae,query,7,Crítico
data\fauna_seleccionada_bosque_atlantico\images\Atelidae\Alouatta\Alouatta_guariba\38919590_61850786.jpg,Alouatta guariba,Alouatta,Atelidae,query,7,Crítico
data\fauna_seleccionada_bosque_atlantico\images\Atelidae\Alouatta\Alouatta_guariba\42608313_67659401.jpg,Alouatta guariba,Alouatta,Atelidae,query,7,Crítico
data\fauna_seleccionada_bosque_atlantico\images\Atelidae\Alouatta\Alouatta_guariba\42608378_67659467.jpg,Alouatta guariba,Alouatta,Atelidae,query,7,Crítico
data\fauna_seleccionada_bosque_atlantico\images\Atelidae\Alouatta\Alouatta_guariba\44917172_71207197.jpg,Alouatta guariba,Alouatta,Atelidae,query,7,Crítico
data\fauna_seleccionada_bosque_atlantico\images\Atelidae\Alouatta\Alouatta_guariba\55111530_87733903.jpg,Alouatta guariba,Alouatta,Atelidae,gallery,7,Crítico
data\fauna_seleccionada_bosque_atlantico\images\Atelidae\Alouatta\Alouatta_guariba\58851974_93986696.jpg,Alouatta guariba,Alouatta,Atelidae,query,7,Crítico
data\fauna_seleccionada_bosque_atlantico\images\Atelidae\Alouatta\Alouatta_guariba\58864890_94008107.jpg,Alouatta guariba,Alouatta,Atelidae,gallery,7,Crítico
data\fauna_seleccionada_bosque_atlantico\images\Atelidae\Alouatta\Alouatta_guariba\59525152_95115601.jpg,Alouatta guariba,Alouatta,Atelidae,query,7,Crítico
data\fauna_seleccionada_bosque_atlantico\images\Atelidae\Alouatta\Alouatta_guariba\60956672_97500472.jpg,Alouatta guariba,Alouatta,Atelidae,query,7,Crítico
data\fauna_seleccionada_bosque_atlantico\images\Atelidae\Alouatta\Alouatta_guariba\62256681_99721733.jpg,Alouatta guariba,Alouatta,Atelidae,gallery,7,Crítico
data\fauna_seleccionada_bosque_atlantico\images\Atelidae\Alouatta\Alouatta_guariba\62750347_100593164.jpg,Alouatta guariba,Alouatta,Atelidae,query,7,Crítico
data\fauna_seleccionada_bosque_atlantico\images\Atelidae\Alouatta\Alouatta_guariba\63834070_102517047.jpg,Alouatta guariba,Alouatta,Atelidae,query,7,Crítico
data\fauna_seleccionada_bosque_atlantico\images\Atelidae\Alouatta\Alouatta_guariba\68762050_111422730.jpg,Alouatta guariba,Alouatta,Atelidae,query,7,Crítico
data\fauna_seleccionada_bosque_atlantico\images\Atelidae\Alouatta\Alouatta_guariba\69330867_112487295.jpg,Alouatta guariba,Alouatta,Atelidae,gallery,7,Crítico
data\fauna_seleccionada_bosque_atlantico\images\Atelidae\Alouatta\Alouatta_guariba\6974669_8923764.jpg,Alouatta guariba,Alouatta,Atelidae,query,7,Crítico
data\fauna_seleccionada_bosque_atlantico\images\Atelidae\Alouatta\Alouatta_guariba\71429313_116295117.jpg,Alouatta guariba,Alouatta,Atelidae,query,7,Crítico
data\fauna_seleccionada_bosque_atlantico\images\Atelidae\Alouatta\Alouatta_guariba\88317335_145702188.jpg,Alouatta guariba,Alouatta,Atelidae,query,7,Crítico
data\fauna_seleccionada_bosque_atlantico\images\Atelidae\Alouatta\Alouatta_guariba_clamitans\105429409_176893745.jpg,Alouatta guariba clamitans,Alouatta,Atelidae,gallery,7,Crítico
data\fauna_seleccionada_bosque_atlantico\images\Atelidae\Alouatta\Alouatta_guariba_clamitans\114763928_193756300.jpg,Alouatta guariba clamitans,Alouatta,Atelidae,query,7,Crítico
data\fauna_seleccionada_bosque_atlantico\images\Atelidae\Alouatta\Alouatta_guariba_clamitans\116483119_196628877.jpg,Alouatta guariba clamitans,Alouatta,Atelidae,query,7,Crítico
data\fauna_seleccionada_bosque_atlantico\images\Atelidae\Alouatta\Alouatta_guariba_clamitans\123121185_208541267.jpg,Alouatta guariba clamitans,Alouatta,Atelidae,query,7,Crítico
data\fauna_seleccionada_bosque_atlantico\images\Atelidae\Alouatta\Alouatta_guariba_clamitans\134724990_229541363.jpg,Alouatta guariba clamitans,Alouatta,Atelidae,query,7,Crítico
data\fauna_seleccionada_bosque_atlantico\images\Atelidae\Alouatta\Alouatta_guariba_clamitans\134785249_229802049.jpg,Alouatta guariba clamitans,Alouatta,Atelidae,query,7,Crítico
data\fauna_seleccionada_bosque_atlantico\images\Atelidae\Alouatta\Alouatta_guariba_clamitans\136496132_232962822.jpg,Alouatta guariba clamitans,Alouatta,Atelidae,query,7,Crítico
data\fauna_seleccionada_bosque_atlantico\images\Atelidae\Alouatta\Alouatta_guariba_clamitans\147407271_253643626.jpg,Alouatta guariba clamitans,Alouatta,Atelidae,query,7,Crítico
data\fauna_seleccionada_bosque_atlantico\images\Atelidae\Alouatta\Alouatta_guariba_clamitans\149435816_257499929.jpg,Alouatta guariba clamitans,Alouatta,Atelidae,gallery,7,Crítico
data\fauna_seleccionada_bosque_atlantico\images\Atelidae\Alouatta\Alouatta_guariba_clamitans\155954280_269624939.jpg,Alouatta guariba clamitans,Alouatta,Atelidae,gallery,7,Crítico
data\fauna_seleccionada_bosque_atlantico\images\Atelidae\Alouatta\Alouatta_guariba_clamitans\156879895_271313217.jpg,Alouatta guariba clamitans,Alouatta,Atelidae,query,7,Crítico
data\fauna_seleccionada_bosque_atlantico\images\Atelidae\Alouatta\Alouatta_guariba_clamitans\162375221_280745978.jpg,Alouatta guariba clamitans,Alouatta,Atelidae,query,7,Crítico
data\fauna_seleccionada_bosque_atlantico\images\Atelidae\Alouatta\Alouatta_guariba_clamitans\163123473_282106782.jpg,Alouatta guariba clamitans,Alouatta,Atelidae,query,7,Crítico
data\fauna_seleccionada_bosque_atlantico\images\Atelidae\Alouatta\Alouatta_guariba_clamitans\165636158_286740012.jpg,Alouatta guariba clamitans,Alouatta,Atelidae,gallery,7,Crítico
data\fauna_seleccionada_bosque_atlantico\images\Atelidae\Alouatta\Alouatta_guariba_clamitans\166280643_287929133.jpg,Alouatta guariba clamitans,Alouatta,Atelidae,query,7,Crítico
data\fauna_seleccionada_bosque_atlantico\images\Atelidae\Alouatta\Alouatta_guariba_clamitans\170824600_296345024.jpg,Alouatta guariba clamitans,Alouatta,Atelidae,query,7,Crítico
data\fauna_seleccionada_bosque_atlantico\images\Atelidae\Alouatta\Alouatta_guariba_clamitans\172324941_299141276.jpg,Alouatta guariba clamitans,Alouatta,Atelidae,query,7,Crítico
data\fauna_seleccionada_bosque_atlantico\images\Atelidae\Alouatta\Alouatta_guariba_clamitans\173644727_301571912.jpg,Alouatta guariba clamitans,Alouatta,Atelidae,query,7,Crítico
data\fauna_seleccionada_bosque_atlantico\images\Atelidae\Alouatta\Alouatta_guariba_clamitans\173651278_301585218.jpg,Alouatta guariba clamitans,Alouatta,Atelidae,query,7,Crítico
data\fauna_seleccionada_bosque_atlantico\images\Atelidae\Alouatta\Alouatta_guariba_clamitans\178438483_310500111.jpg,Alouatta guariba clamitans,Alouatta,Atelidae,query,7,Crítico
data\fauna_seleccionada_bosque_atlantico\images\Atelidae\Alouatta\Alouatta_guariba_clamitans\184807530_322650826.jpg,Alouatta guariba clamitans,Alouatta,Atelidae,query,7,Crítico
data\fauna_seleccionada_bosque_atlantico\images\Atelidae\Alouatta\Alouatta_guariba_clamitans\188207019_329333172.jpg,Alouatta guariba clamitans,Alouatta,Atelidae,query,7,Crítico
data\fauna_seleccionada_bosque_atlantico\images\Atelidae\Alouatta\Alouatta_guariba_clamitans\188732318_330411915.jpg,Alouatta guariba clamitans,Alouatta,Atelidae,query,7,Crítico
data\fauna_seleccionada_bosque_atlantico\images\Atelidae\Alouatta\Alouatta_guariba_clamitans\192667126_338277314.jpg,Alouatta guariba clamitans,Alouatta,Atelidae,query,7,Crítico
data\fauna_seleccionada_bosque_atlantico\images\Atelidae\Alouatta\Alouatta_guariba_clamitans\193174115_339301805.jpg,Alouatta guariba clamitans,Alouatta,Atelidae,query,7,Crítico
data\fauna_seleccionada_bosque_atlantico\images\Atelidae\Alouatta\Alouatta_guariba_clamitans\195682350_344318364.jpg,Alouatta guariba clamitans,Alouatta,Atelidae,query,7,Crítico
data\fauna_seleccionada_bosque_atlantico\images\Atelidae\Alouatta\Alouatta_guariba_clamitans\196679273_346207723.jpg,Alouatta guariba clamitans,Alouatta,Atelidae,query,7,Crítico
data\fauna_seleccionada_bosque_atlantico\images\Atelidae\Alouatta\Alouatta_guariba_clamitans\197573248_348017171.jpg,Alouatta guariba clamitans,Alouatta,Atelidae,query,7,Crítico
data\fauna_seleccionada_bosque_atlantico\images\Atelidae\Alouatta\Alouatta_guariba_clamitans\198224079_349318632.jpg,Alouatta guariba clamitans,Alouatta,Atelidae,query,7,Crítico
data\fauna_seleccionada_bosque_atlantico\images\Atelidae\Alouatta\Alouatta_guariba_clamitans\201383595_355483681.jpg,Alouatta guariba clamitans,Alouatta,Atelidae,query,7,Crítico
data\fauna_seleccionada_bosque_atlantico\images\Atelidae\Alouatta\Alouatta_guariba_clamitans\206278453_364825947.jpg,Alouatta guariba clamitans,Alouatta,Atelidae,query,7,Crítico
data\fauna_seleccionada_bosque_atlantico\images\Atelidae\Alouatta\Alouatta_guariba_clamitans\217516460_384808308.jpg,Alouatta guariba clamitans,Alouatta,Atelidae,query,7,Crítico
data\fauna_seleccionada_bosque_atlantico\images\Atelidae\Alouatta\Alouatta_guariba_clamitans\218253684_386179372.jpg,Alouatta guariba clamitans,Alouatta,Atelidae,gallery,7,Crítico
data\fauna_seleccionada_bosque_atlantico\images\Atelidae\Alouatta\Alouatta_guariba_clamitans\218911532_387420635.jpg,Alouatta guariba clamitans,Alouatta,Atelidae,gallery,7,Crítico
data\fauna_seleccionada_bosque_atlantico\images\Atelidae\Alouatta\Alouatta_guariba_clamitans\225114620_399080363.jpg,Alouatta guariba clamitans,Alouatta,Atelidae,gallery,7,Crítico
